sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18aaylbjm,249.6333,5.126473000000002,0.09,1237662198830138199,249.6333,5.12662,-99.0
ZTF18aayivoq,180.4786,36.8952,0.0792,1237664818212831343,180.4787,36.89522,0.07924838
ZTF18aazixbw,244.7416,56.71688,0.0594,1237665582713864364,244.7425,56.71506,-99.0
ZTF18aajpjdi,199.5276,27.87339,0.0746,1237667444587298906,199.5276,27.87315,0.07461706
ZTF18aazgfkq,174.6235,20.52869,0.028,1237667916489818174,174.6228,20.52771,-99.0
ZTF18aaxvpsw,224.9766,39.07883,0.0916,1237661360769007833,224.9765,39.07877,0.09156192
ZTF18aawczad,194.5695,27.72928,0.0682,1237667323797569720,194.5701,27.72967,0.06823571
ZTF18abatffv,208.6391,40.16995,0.14,1237662306724085970,208.6406,40.17059,-99.0
ZTF18abbpeqo,238.2268,50.61947,0.06677999999999999,1237655349964832923,238.2257,50.61875,0.06678188
ZTF18aazxthg,202.9807,23.28322,0.045,1237667910600425814,202.9828,23.2824,-99.0
ZTF18abbodly,331.4056,44.83766,0.0188,1237672026780336738,331.4056,44.83788,-99.0
ZTF18abadjhx,315.2053,9.524493,0.076,1237653007582627077,315.2054,9.524095,-99.0
ZTF18aayiahw,209.8083,28.54077,0.06368,1237665443132080278,209.8122,28.53882,0.06368332
ZTF18aaxcfbt,164.6129,51.69578,0.06811,1237657630597513335,164.6133,51.69559,0.06811125
ZTF18aazjztm,260.1017,55.21465,0.07200000000000001,1237651212288786656,260.1015,55.214180000000006,0.07206996
ZTF18abclalx,248.8601,62.53434,0.1,1237671939265790331,248.8607,62.53405,-99.0
ZTF18abckujg,222.9735,46.64575,0.07400000000000001,1237662302974312661,222.9742,46.64646,-99.0
ZTF18abbvsiv,261.1335,70.37245,0.051,1237655748310663502,261.131,70.37312,-99.0
ZTF18abcicrq,205.2832,28.88652,0.105,1237665442593505404,205.2839,28.88633,-99.0
ZTF18abckujq,181.6692,59.51336,0.06383,1237658311329710301,181.6718,59.51493000000001,0.06382665
ZTF18abcdzyc,195.4404,61.46548000000001,0.0557,1237655463770914947,195.4406,61.46548000000001,0.05572366
ZTF18aazhwnh,233.0148,23.51704,0.0907,1237665536538378272,233.0147,23.517,0.09071805
ZTF18abcrtnq,198.893,28.34291,0.10151,1237665427554500700,198.8919,28.341490000000004,0.10151239999999999
ZTF18abcrxoj,239.2596,37.41718,0.0309,1237662500006002900,239.2613,37.41668,0.03086616
ZTF18abcpolh,226.9942,1.232398,0.03512,1237651735777509473,226.9971,1.231732,0.03512064
ZTF18abcryxz,181.1495,12.55679,0.0646,1237661812810055830,181.1497,12.55675,0.06460381
ZTF18abcxyjp,214.575,28.97329,0.04216,1237665179521187909,214.5771,28.96832,0.04215854
ZTF18abdbuty,253.1973,51.56343,0.08,1237665584864362841,253.1978,51.56366,-99.0
ZTF18abdfazk,216.9802,40.97435,0.09,1237661873487610113,216.9807,40.97443,-99.0
ZTF18abdfaqi,223.493,26.00197,0.04828,1237665178987987117,223.4939,26.00159,0.04827984
ZTF18abdgwxn,261.4228,23.86915,0.0638,1237655374118978054,261.4218,23.87053,-99.0
ZTF18abddrhd,241.2673,36.09409,0.09,1237662500006854730,241.2672,36.09446,-99.0
ZTF18abdiqdh,184.6835,44.78197,0.03834,1237661872403447862,184.6847,44.78118,0.03834132
ZTF18abealop,240.9351,54.3041,0.06658,1237654949987614775,240.9342,54.30356999999999,0.06658341
ZTF18abetehf,233.4872,31.16984,0.064927,1237662340546625732,233.4863,31.16915,0.06492737
ZTF18abdrmin,222.0234,63.21666999999999,0.05154,1237674479197814996,222.0258,63.21661,0.05153504
ZTF18abetewu,217.3091,46.05086,0.08,1237658205594779813,217.30900000000003,46.05086,-99.0
ZTF18abcvush,256.6834,18.35706,0.05,1237662336264045004,256.6836,18.35712,-99.0
ZTF18aansqun,251.2921,42.71788,0.05964,1237655504567926803,251.2921,42.7177,0.05964478
ZTF18aavnvmp,204.697,30.95958,0.064,1237665330396594427,204.6969,30.9596,-99.0
ZTF18abetejo,208.644,42.77465,0.07,1237661851476885676,208.6436,42.77437000000001,0.06337692
ZTF18abfzkno,258.1289,26.01861,0.09,1237659329785561834,258.1289,26.01856,-99.0
ZTF18abgledy,236.4234,11.95276,0.07,1237668333108658811,236.4242,11.95354,-99.0
ZTF18abdrbok,213.6186,23.00800000000001,0.14,1237665567143428225,213.6187,23.00827,-99.0
ZTF18abespgb,216.8033,16.86267,0.05,1237668297680486548,216.8034,16.862820000000006,-99.0
ZTF18abhhnnv,252.4876,27.64082,0.0638,1237662302987419994,252.4907,27.64101,0.06380205
ZTF18abgqkpc,217.541,55.88641,0.108,1237659326018224217,217.5408,55.88622,0.1082427
ZTF18abgosbg,287.1690000000001,78.47771,0.08,1237663268797809079,287.1678,78.47847,-99.0
ZTF18abixkjh,232.5885,27.62952,0.07,1237664853651095654,232.5879,27.62912,-99.0
ZTF18aailmnv,214.2021,58.4854,0.08,1237655463775174826,214.2023,58.48596,-99.0
ZTF18abiinnl,330.1738,19.66614,0.02476,1237666243607134632,330.1695,19.66788,-99.0
ZTF18abfwuwn,251.4282,37.89043,0.1,1237655473432887529,251.4298,37.89174000000001,-99.0
ZTF18abjvhec,226.3768,30.91026,0.0569,1237662223545794567,226.3789,30.91079,0.056900099999999995
ZTF18abilofa,338.785,17.38907,0.07,1237666185636741423,338.784,17.3896,-99.0
ZTF18abjtgdo,226.0984,61.62145,0.07393,1237651539257131111,226.0976,61.62119000000001,0.07392846
ZTF18abiirfq,185.6534,47.96926,0.0499,1237661358081441903,185.6534,47.96912,0.04990525
ZTF18abjwahi,240.0149,23.38073,0.1,1237662697038020910,240.0148,23.38095,-99.0
ZTF18abixkdo,243.9521,19.65704,0.03,1237665102223704439,243.9523,19.66231,0.03034527
ZTF18abkhcwl,236.5296,29.73347,0.031639999999999995,1237662306735030572,236.5313,29.73304000000001,0.03164368
ZTF18abhqdpv,339.338,22.37957,0.078,1237666244684808574,339.3381,22.37985,-99.0
ZTF18aartjmf,231.745,8.261491,0.0878,1237662198822273075,231.7448,8.262015,0.0878217
ZTF18abjrfqx,332.0974,11.37928,0.04,1237678860070289583,332.0959,11.37951,-99.0
ZTF18abjvzxx,240.2726,11.94419,0.0503,1237668272451551336,240.2789,11.94545,0.05033761
ZTF18acnbpkq,197.6763,12.67697,0.03586,1237661817636192624,197.6792,12.6755,0.03586059
ZTF18ablmflp,211.0965,60.02444000000001,0.0427,1237655464847999173,211.0933,60.02692,0.0426961
ZTF18ablhvfr,235.0462,61.53001,0.085,1237671941410521223,235.0448,61.52948000000001,-99.0
ZTF18ablrljh,248.8439,22.46848,0.094,1237662341090574610,248.8439,22.46844,0.09395919999999999
ZTF18abklaoj,223.3846,3.070487,0.02893,1237654879130091648,223.3872,3.077291,0.02795989
ZTF18abltdkd,243.5862,3.23195,0.027000000000000003,1237655742953292992,243.5854,3.232636,-99.0
ZTF18ablqlzp,234.1333,41.7999,0.0414,1237662303515246792,234.1347,41.7993,-99.0
ZTF18abgkjff,227.6687,8.574303,0.044910000000000005,1237662198283632688,227.6661,8.571636,0.04490508
ZTF18abktphg,340.2617,20.72556,0.07,1237680298346807723,340.2623,20.72552,-99.0
ZTF18acefhxx,144.6784,9.082929,0.08,1237661064414101618,144.6809,9.083422,0.07786541
